A1: Ladder,B1: plate2_A1,C1: plate2_H12,D1: plate3_A1,E1: plate3_H12,F1: plate4_A1,G1: plate4_H12
1073.089,8033.448,7075.677,6903.956,635.6167,15546.36,22.98992
1003.38,6956.869,6027.275,5712.124,624.9244,13131.52,23.0976
913.1786,5941.299,5090.853,4716.526,607.5208,11065.19,22.83415
807.7684,5035.896,4246.22,3946.918,595.5521,9342.78,22.51148
695.8278,4260.972,3547.919,3354.884,587.5866,7975.226,22.36149
586.5773,3580.161,2995.232,2871.297,588.6089,6999.684,22.14728
484.3587,3061.273,2555.757,2515.074,586.6384,6233.676,21.5592
397.3643,2647.266,2209.137,2260.872,581.2249,5655.242,21.28281
326.4906,2335.886,1951.277,2075.787,577.1472,5226.685,21.28026
270.5034,2096.938,1754.248,1943.282,574.0681,4908.155,21.0645
227.4258,1916.42,1614.003,1838.464,572.662,4667.342,20.67423
194.693,1775.272,1498.365,1760.602,567.0778,4477.158,20.38978
169.8388,1658.035,1413.764,1698.936,559.6563,4300.243,20.31882
153.872,1565.292,1347.146,1644.559,549.9192,4153.895,20.09945
142.9158,1491.641,1291.586,1589.627,542.4489,4008.38,19.73561
134.7658,1428.04,1242.337,1535.381,536.1153,3854.558,19.49911
128.6659,1380.722,1195.614,1486.696,528.613,3696.367,19.42636
124.3527,1343.065,1150.121,1442.814,520.1951,3539.341,19.3087
122.2038,1308.017,1108.035,1394.634,510.9269,3385.471,19.1103
123.2764,1273.207,1070.864,1342.171,508.8779,3232.204,18.90734
126.7836,1228.037,1030.681,1306.876,505.5532,3074.441,18.71548
134.2227,1179.662,993.0848,1255.647,499.7077,2920.844,18.31997
145.6673,1137.656,954.344,1205.915,490.9467,2769.334,18.34238
162.2262,1095.45,917.4092,1157.339,482.0185,2610.262,18.46401
184.8633,1051.187,878.2438,1105.198,474.3261,2455.52,18.72154
214.6388,1001.609,836.1063,1048.797,470.6121,2308.403,18.87983
255.1488,944.4123,795.2921,992.282,468.8278,2161.392,18.92795
307.2761,891.8605,754.4811,938.2824,468.4515,2011.34,19.07872
366.8606,841.3264,717.0922,888.3481,467.5435,1882.724,19.39633
438.7844,792.5537,680.3912,840.7952,466.2366,1760.449,19.14109
525.1984,747.0034,643.1557,797.7079,464.7939,1647.922,18.45019
623.2193,705.7205,608.9915,761.7087,465.0237,1542.935,17.93776
725.7252,668.7286,574.3997,726.4324,467.3441,1448.71,17.34868
837.0406,635.8035,540.4175,690.42,477.8576,1362.597,16.86648
948.8248,606.8615,507.7642,657.6656,487.4919,1280.442,16.53775
1053.814,580.121,475.8798,624.265,492.8372,1204.585,16.03649
1145.075,552.4588,446.1974,589.5211,498.2817,1136.769,15.59765
1214.921,528.5809,415.7551,554.7881,503.8124,1082.388,15.51432
1255.108,504.9916,389.9251,520.6336,509.572,1031.426,15.74848
1257.358,485.1788,369.7949,486.3289,513.6487,983.9548,15.99037
1210.624,467.2756,351.2648,454.8777,517.2484,938.3784,16.09791
1133.913,450.13,333.6089,426.9079,528.912,895.4849,16.13641
1031.333,434.1606,317.7733,401.5319,542.5674,857.329,16.25665
907.7922,419.142,303.3272,379.6407,558.231,823.7193,16.44281
773.1914,405.825,290.0884,360.3294,566.1648,792.8782,15.89349
641.7263,392.053,279.628,343.5801,572.3734,764.2577,15.52195
521.6707,380.8662,269.0855,327.9127,576.5748,734.6785,14.86815
421.3201,368.9675,260.9247,313.7442,582.9727,707.7859,14.08795
342.2539,357.7252,249.2342,299.7765,590.731,684.0137,13.48413
280.8591,346.6081,238.2247,285.8114,601.0895,660.9611,13.14325
233.6063,337.0535,228.3591,272.1266,601.3913,636.4298,12.88178
197.8631,327.2786,218.3874,259.2766,597.5347,611.3678,12.65587
171.6392,316.1177,208.3649,249.6911,598.2522,587.3756,12.73418
154.2351,305.7182,199.5263,239.3107,596.2633,562.3448,12.9625
141.0008,294.6577,191.9675,229.5219,592.0728,542.5235,13.24068
129.5325,284.7477,183.4953,221.0981,583.3961,523.7068,13.34301
120.0481,273.7476,176.9107,213.8772,579.3888,507.3015,13.43638
112.8271,265.6934,170.9044,207.1279,581.8046,492.4521,13.67152
107.3913,256.0032,165.471,201.78,578.4279,477.5776,13.63715
102.5782,247.6414,159.7239,197.901,572.0732,467.0794,13.54134
100.3315,240.3074,154.6083,191.4499,560.8845,455.553,13.59884
98.23387,233.1211,150.9382,188.9268,548.9539,443.4642,13.53259
97.34895,225.7853,148.0689,186.7208,537.0469,431.1013,13.53528
97.95867,218.5169,144.758,184.6244,526.5911,420.7307,13.67943
100.8156,213.1402,141.6464,179.9359,515.3292,408.8477,13.91752
107.8012,206.6331,140.3873,173.5166,503.4544,396.4599,14.11348
119.4431,203.2308,136.7611,166.9404,489.5682,387.6798,14.01803
136.8611,199.3288,134.6129,160.6791,477.3164,379.0697,13.77231
161.2894,196.9205,131.4035,153.9981,466.8539,373.1412,13.77017
194.8003,193.7762,128.0569,146.2174,455.375,364.2636,13.59585
238.1802,190.6052,125.1992,141.1295,444.056,359.845,13.23532
292.644,188.1156,122.9833,137.902,433.2129,355.379,12.82693
363.0016,185.2179,121.1789,136.8815,424.7405,350.28,12.38661
452.0676,180.7031,118.0858,137.4355,416.1033,345.8574,11.75944
555.3002,175.6375,116.1236,138.3937,404.6299,342.7263,11.64952
668.2629,172.4409,113.9864,138.9436,394.2624,340.4971,11.59867
789.7128,169.5623,113.2327,139.0365,384.5312,335.494,11.61633
916.749,167.4862,111.498,138.9765,375.3985,334.2107,11.45993
1042.44,167.2868,111.4091,140.0029,367.556,333.822,11.30098
1154.32,168.4924,112.3636,141.0136,360.8536,332.6454,11.37449
1236.79,170.3495,113.1694,142.0858,355.3949,331.3703,11.68527
1285.36,172.1495,114.5967,143.7823,349.3559,332.0112,11.9718
1298.005,174.383,117.0682,148.0383,342.396,334.8369,11.31888
1272.007,177.3673,120.3737,153.6563,336.8396,335.3128,10.7345
1206.979,177.914,122.2736,158.3861,331.9214,338.0332,10.2189
1108.484,177.5582,125.5049,164.2772,327.9748,341.7918,10.03991
983.5765,178.1871,127.5987,170.2181,324.4572,345.2544,10.08583
848.2124,178.7736,129.403,176.2329,320.8761,346.4444,10.16952
716.4866,180.8677,129.94,181.2455,315.931,346.6909,10.4242
596.157,183.9901,129.6336,186.6732,312.6361,347.3604,10.47211
491.0258,186.8416,130.1688,191.3456,310.4998,347.5154,10.67717
402.1157,189.3486,130.7301,195.1413,307.6328,345.6332,11.07251
330.0838,191.4853,130.8933,198.4463,304.5003,344.2107,11.51228
276.7824,192.6543,132.6582,200.7274,301.0521,343.1837,11.5344
238.3741,193.9696,134.8229,202.666,300.7032,342.2406,11.0891
205.4567,195.049,135.9767,204.1613,300.2085,341.2979,10.68491
177.1172,194.1409,136.4027,204.868,298.66,340.2841,10.7402
154.7992,193.7,135.0869,204.5706,293.3093,339.1259,10.53683
137.5602,193.7507,133.2307,203.4346,287.1282,337.426,10.28491
124.8821,194.439,132.0593,201.663,282.2729,333.7897,10.15738
115.2483,193.9987,129.5225,199.7395,276.1917,329.2916,10.05892
107.2084,192.4755,127.845,197.8764,269.4039,323.4866,9.961735
100.6234,190.7867,128.2622,194.8378,262.4801,318.7292,10.02298
94.90491,188.3268,127.4618,191.4066,255.9337,312.7374,10.46297
89.51699,184.5832,127.068,187.1019,249.7496,305.5137,10.92542
85.07191,181.1019,126.2626,182.3779,238.7738,298.245,11.12105
83.38232,179.6884,125.4471,178.2704,228.4116,290.7531,11.25894
80.26276,175.8451,123.879,173.044,219.4761,281.5724,11.49639
77.29984,174.1369,120.5248,165.9984,211.2451,273.4336,11.28614
74.45778,173.1343,116.754,158.7214,205.8739,266.8004,10.62329
71.64285,170.6304,115.699,152.8189,208.3966,258.1925,10.1827
69.30624,166.6359,112.2677,146.2514,209.2006,247.4714,10.1662
68.07101,161.9844,108.5174,140.9509,209.2195,235.7371,9.812266
66.19572,156.2618,105.3172,136.4861,209.1167,223.8945,9.715827
64.82838,148.6913,101.7042,133.7546,210.7217,212.1578,9.698668
63.52314,139.5596,97.52032,132.8793,213.6478,200.9444,9.81684
62.51631,131.1909,92.94154,132.794,215.1408,192.6426,10.04689
62.3377,123.7084,88.24014,132.3758,216.0397,183.8793,10.37394
63.1119,118.0171,83.73738,131.405,216.1707,177.1177,10.81128
63.38565,114.3827,79.60046,129.7595,216.3004,172.5746,10.79111
63.94452,110.5945,77.24881,127.2981,213.8405,168.8524,10.44551
65.42625,105.8285,75.62276,124.5632,205.5804,164.206,10.22936
69.84195,100.9705,72.9813,120.5606,200.1638,158.0349,10.3248
79.10781,96.54777,70.21111,115.4008,195.9846,152.2781,10.41332
94.12984,92.24945,68.70695,109.6698,192.9958,147.9602,10.36048
114.0262,87.29067,67.37563,104.2759,194.0412,145.7534,10.30651
145.7786,82.27655,65.46863,99.96343,197.3465,145.6294,10.19468
189.619,78.04367,63.88505,96.48051,196.3843,146.8345,10.32879
246.8207,75.08975,61.51013,92.69279,195.7489,148.6212,10.31525
319.8104,74.03287,58.97343,89.1974,195.4538,151.4224,10.35774
410.4,73.03174,58.50041,87.09132,198.8052,156.407,10.1913
518.3172,71.3938,57.2088,85.47375,201.1796,159.7006,9.984541
640.9442,69.60847,55.50452,84.0959,201.3192,161.8423,9.898398
777.96,67.7057,53.54261,83.36062,201.61,159.6772,9.698468
918.4583,66.13698,51.64159,83.34904,201.2749,155.336,9.563403
