A1: Ladder,B1: Jono 2.3A cDNA 10F,C1: Nicky 2.3A cDNA 10F
17.35672,15.56199,7.206395
16.32542,15.44856,7.19957
15.54748,15.3812,7.285583
14.99511,15.23553,7.344152
14.71191,15.26237,7.427708
14.66076,15.18898,7.508402
14.45617,14.98369,7.620486
14.88821,14.90242,7.641048
16.0127,14.62363,7.685144
18.00191,14.53021,7.776753
22.64487,14.53243,7.863501
30.45861,14.45509,7.862702
43.86927,14.33277,7.961953
64.27181,14.03827,7.814886
94.8682,13.96208,7.787652
132.8849,13.84041,7.88456
174.0902,13.70632,8.004066
212.8941,13.62402,8.050014
242.0109,13.43608,8.206194
257.4133,13.18768,8.269254
256.2171,13.03955,8.37012
238.4007,12.98826,8.382756
208.7339,12.81515,8.471785
172.5417,12.75477,8.398945
137.4026,12.78705,8.545406
105.6222,12.91541,8.692321
79.83259,12.92819,8.839748
60.16582,13.04351,8.879561
45.71226,12.94188,9.09485
36.15203,12.87985,9.175599
29.19209,12.90438,9.309648
24.72365,12.89085,9.1987
22.04705,12.88167,9.354182
20.25641,13.08785,9.410195
18.93156,13.24508,9.664045
17.85498,13.58028,9.720651
17.33894,13.76259,9.990071
16.95395,14.10811,10.27727
16.83681,14.18256,10.54553
16.64608,14.39299,10.82173
17.20304,14.51607,11.1734
17.90047,14.68495,11.4327
19.37021,15.29478,11.9962
24.21359,17.00006,12.58485
32.2601,19.60596,13.48697
47.76861,23.66183,14.37772
72.66489,30.27739,15.47805
110.0322,40.90124,16.52849
157.1383,56.16437,17.82679
205.7056,76.60368,19.12275
248.4166,98.92963,20.56516
277.4879,119.8707,21.74686
287.7097,135.9211,23.3775
278.7707,144.3352,27.04799
251.0897,143.7141,32.95811
212.9029,134.7121,46.22778
170.8862,119.312,70.91474
133.4314,100.6257,111.6993
102.4448,81.88273,176.3802
77.44182,65.72835,255.6129
58.52466,51.86555,336.8734
44.83118,40.71741,403.6115
34.48925,31.68767,444.3832
27.1559,24.662,451.933
21.9318,19.87883,426.1959
18.58398,16.75731,373.679
16.14233,14.65782,305.0171
14.14163,13.31612,235.6761
12.63368,12.33596,180.1609
11.29758,11.45253,137.7028
10.14079,10.74203,107.4697
9.115373,10.18039,85.57583
8.296314,9.666329,70.0654
7.564617,9.201264,58.97958
6.943267,8.782356,51.89896
6.564807,8.384347,45.46879
6.137952,7.989251,40.00423
5.712902,7.698327,35.00718
5.316865,7.39603,30.3535
4.977625,7.082956,26.4004
4.751514,6.928585,22.96092
4.352628,6.730467,20.30212
4.111467,6.528037,18.19842
3.909179,6.321949,16.74627
3.751388,6.137144,15.46294
3.610602,5.935117,14.36907
3.361217,5.688768,13.63175
3.098326,5.563458,12.86366
2.817212,5.430156,12.23831
2.716668,5.390848,11.54302
2.550411,5.337903,10.80377
2.357152,5.194707,10.21834
2.267514,5.074995,9.681768
2.203535,4.898032,9.167687
2.128469,4.743785,8.610627
1.941089,4.563129,7.969839
1.839601,4.360495,7.402724
1.780804,4.224383,6.817179
1.669996,4.152024,6.173956
1.719202,4.168305,5.71145
1.693458,4.071018,5.138531
1.757008,4.040034,4.754353
1.713642,3.956785,4.338913
1.622397,3.815815,3.990465
1.464059,3.721532,3.628362
1.272686,3.599743,3.21051
1.19057,3.601406,2.913256
1.147136,3.58178,2.608196
0.9803791,3.604867,2.454226
0.9802313,3.4821,2.361655
1.007239,3.291659,2.118073
1.098643,3.260423,2.108565
1.226288,3.176353,2.008466
1.348161,3.102842,1.979692
1.386472,3.022951,1.747416
1.352818,2.990108,1.604862
1.266691,3.108997,1.424194
1.109983,3.134439,1.296879
0.8587132,3.053438,1.26334
0.6624298,2.882506,1.141798
0.6170464,2.743576,0.9739504
0.5843601,2.673814,0.8927355
0.6344891,2.570975,0.775094
0.6735392,2.442422,0.622076
0.6531162,2.409948,0.4184237
0.4870205,2.3248,0.3086567
0.2910223,2.187306,0.1612864
0.1750154,2.014309,0.1991863
0,1.778618,0.07638645
0,1.644942,0
0,1.547009,0.03727722
0.02783394,1.434649,0.0165205
0,1.394778,0.002761841
0.01482773,1.47043,0
0.02345371,1.585588,0.006309509
0,1.58478,0
0,1.556194,0
0.05874443,1.441,0.02969265
0,1.407268,0
0,1.168848,0.05556011
0,0.966176,0.1370668
0.1299949,0.6938877,0
0.002695084,0.6041002,0
0,0.4748688,0
0,0.3884335,0
0.01119757,0.3805542,0
0,0.3898935,0
0,0.305316,0.01408529
0,0.322319,0.06920195
0,0.1127644,0.1236749
0.02200556,0.04843712,0.1133637
0.07819891,0,0
0.009161949,0.09107113,0.04051638
0.07302713,0,0.002323627
0,0,0
0,0.03127003,0.03157091
0,0,0
