A1: Ladder,B1: Jono_cDNA_PLC_10F,C1: Jono_Prot_PLC_10F,D1: Nicky_cDNA_PLC_10F,E1: Nicky_PLA_PLC_10F
80.07603,39.19904,17.11223,14.85534,26.72491
65.06132,38.99208,17.16402,14.58837,26.37096
53.61786,38.80127,17.18658,14.65676,25.9478
45.58218,38.62394,16.99337,14.59373,25.79081
40.18153,38.6156,16.88459,14.6808,25.53593
36.32947,38.557,16.63969,14.51741,25.33518
33.96955,38.66738,16.57765,14.36749,25.24949
31.88152,38.71237,16.49353,14.14479,25.14982
30.05079,38.78662,16.52343,14.08352,24.92791
28.63138,38.94868,16.51522,14.07249,24.74986
27.4386,39.20395,16.44469,14.13688,24.39128
26.39874,39.40432,16.28405,14.08972,24.01398
25.47254,39.75722,16.16897,14.15936,23.80328
24.70164,40.22627,16.03552,14.39589,23.66817
23.87776,40.72127,16.09956,14.56577,23.48609
23.29436,41.34682,16.12371,14.52173,23.23666
22.72296,41.90951,16.21403,14.53664,23.04062
22.28397,42.07661,16.23799,14.6624,22.73886
22.09327,42.2246,16.32009,14.74341,22.58893
22.26149,42.38887,16.25416,14.73521,22.49504
23.10206,42.5588,16.19547,14.90065,22.05662
25.06723,42.64449,16.08185,14.89269,21.72804
29.56384,43.05079,15.96494,14.83004,21.51394
37.56885,43.66171,16.10129,14.98372,21.07787
50.95071,44.11059,16.19396,15.12253,20.87351
71.09229,44.73807,16.14326,15.38128,20.48361
98.94555,45.1971,16.06225,15.52588,20.24912
131.7776,45.33533,16.1089,15.76712,20.10994
167.1089,45.32238,15.95551,15.83289,19.8711
201.7592,45.388,15.86866,15.74387,19.45438
228.2367,45.27406,15.8575,15.79825,18.93053
242.8209,45.12255,15.67438,15.59981,18.68699
242.7343,45.09378,15.65721,15.35624,18.57488
227.7609,44.85078,15.71314,15.11425,18.48674
201.9079,44.55688,15.74373,14.91288,18.45164
169.5938,44.32556,15.82541,14.68769,18.3824
135.957,43.9602,15.73467,14.41741,18.22145
104.1716,43.43664,15.7129,14.35835,18.05951
78.64668,42.80424,15.56121,14.09158,17.69937
60.54084,42.30749,15.42033,14.12337,17.18244
47.37981,41.75169,15.28064,14.22264,16.75097
39.29178,41.19955,15.07314,13.99975,16.49562
33.92959,40.63707,15.06219,13.92177,16.25059
30.41934,40.04908,15.006,13.74711,16.07898
28.38583,39.52298,15.03979,13.28358,15.9313
26.90502,38.93796,15.08668,12.94073,15.87903
25.60665,38.33056,15.06164,12.57322,15.65045
24.55241,37.60491,15.14202,12.16428,15.58252
23.50316,36.98696,15.17002,11.78414,15.31249
22.52031,36.46062,15.0206,11.64656,15.1573
21.48141,36.0429,15.00181,11.29157,14.95578
20.65133,35.51313,14.93657,10.99446,14.83996
19.62346,35.0358,15.00062,10.79774,14.56076
18.73271,34.56487,14.84918,10.60034,14.38684
17.76799,33.92966,14.70435,10.25375,14.27265
16.91862,33.20892,14.58119,10.06815,14.0862
16.29653,32.43782,14.51537,9.924677,13.8381
15.80582,31.84048,14.43624,9.807038,13.53786
15.49579,31.13404,14.34082,9.770402,13.28563
15.29272,30.69518,14.30596,9.590479,13.19782
15.03194,30.24691,14.17268,9.531301,12.95994
14.89667,29.61722,14.06243,9.595237,12.8318
14.63908,29.28003,14.10885,9.351831,12.59856
14.44934,28.85995,13.92966,9.271373,12.42426
14.16207,28.36463,13.79979,9.189198,12.30339
14.02359,27.92599,13.697,9.162032,12.10325
13.93052,27.56975,13.66457,9.137829,11.85481
13.78089,27.59625,13.6267,8.985393,11.73413
13.73236,27.2935,13.5941,8.881833,11.75836
13.62373,27.28135,13.57805,8.869207,11.68173
13.6917,26.9828,13.39284,8.893427,11.63581
13.78244,26.75397,13.23757,8.817049,11.58825
13.93276,26.60846,13.1566,8.623611,11.50227
14.10909,26.27197,13.0638,8.57067,11.32618
14.24782,26.07008,13.03555,8.499995,11.26983
14.54629,25.9289,12.91721,8.473487,11.19714
14.94937,25.86498,13.0203,8.396251,11.05356
15.46931,25.75981,12.78511,8.186819,10.96626
16.48612,25.44414,12.70939,8.130199,10.84792
18.02576,25.20807,12.51684,8.088414,10.78616
20.76085,24.87457,12.25125,7.994771,10.71322
26.24177,24.70702,12.07157,7.939907,10.63048
35.07131,24.41016,11.95085,7.897149,10.33698
49.76849,24.10509,11.85208,7.964357,10.02823
71.51738,24.05299,11.96961,7.999636,9.793867
100.5322,23.92533,11.89412,7.944579,9.723977
134.7951,23.77934,11.98079,7.841445,9.567397
168.542,23.43474,11.83645,7.641463,9.417813
199.2868,23.05739,11.88668,7.492672,9.261916
221.7608,22.80863,11.82962,7.351802,9.482858
231.5772,22.32982,11.82209,7.206634,9.486499
227.4882,21.94755,11.92833,7.151986,9.545621
210.2256,21.57538,11.89287,7.137677,9.495442
183.9937,21.26622,11.83214,7.166582,9.407608
153.3253,21.06759,11.87887,7.141935,9.248405
122.7758,20.91457,11.81725,7.144717,9.252325
95.17825,20.70467,11.74417,7.009873,9.070402
71.4377,20.49345,11.69263,6.97415,8.986644
54.68545,20.398,11.62679,6.821793,8.851619
43.23286,20.27242,11.66051,6.686754,8.953341
35.28592,19.88138,11.53414,6.493091,8.918737
30.00982,19.44193,11.45878,6.367489,8.745929
26.69896,19.017,11.2913,6.323339,8.583327
24.35505,18.54268,11.1434,6.219906,8.410218
