A1: Ladder,B1: Luke_PLA2.3b_10F,C1: Nicky_PLA2.3b_10F
0.4261527,0.283361,0.4497781
0.3428288,0.2114749,0.4466362
0.3160491,0.202148,0.3625355
0.3014255,0.2309599,0.4289675
0.1508298,0.3233643,0.5377393
0.07027626,0.4663115,0.5380883
0.1374922,0.5179172,0.7475457
0.1527863,0.5744696,0.6518903
0.2587552,0.6655922,0.472506
0.3480124,0.7003574,0.4091344
0.4156175,0.7814741,0.3407145
0.5080414,0.8060656,0.4231339
0.6377535,0.9037766,0.3887858
0.8296604,0.9060144,0.5021343
0.7905984,1.000129,0.6879501
0.8443346,1.033375,0.8028035
0.8786259,1.004759,0.974247
0.9299841,0.9543142,1.066031
1.000112,0.9463243,0.9291172
0.9518046,1.028861,1.015543
0.9507952,1.111119,0.8642964
0.8627706,1.158783,0.905519
0.7792377,1.157526,0.8931413
0.8098345,1.11601,1.053571
0.9023118,1.109267,1.087403
0.9220619,1.104753,1.196413
1.051548,1.016082,1.229657
1.13605,0.9300385,1.390368
1.25542,1.018017,1.251914
1.120924,0.9996915,1.285794
1.179838,0.9585338,1.291316
1.148061,1.033604,1.22555
1.272955,1.029337,1.218824
1.314211,1.126151,1.275713
1.462208,1.106462,1.33474
1.597802,1.173351,1.417248
1.681549,1.156319,1.479113
1.555126,1.20036,1.517154
1.508073,1.300294,1.485386
1.357403,1.232548,1.499659
1.467377,1.202221,1.496919
1.432461,1.348642,1.395917
1.530169,1.430121,1.435161
1.457553,1.458215,1.45445
1.525444,1.43983,1.449503
1.524674,1.398346,1.509698
1.419153,1.368727,1.603952
1.388498,1.307724,1.587776
1.306358,1.287718,1.537958
1.298696,1.30079,1.644423
1.278032,1.296694,1.548298
1.286072,1.40736,1.547653
1.373532,1.510635,1.548469
1.437048,1.363939,1.567904
1.44975,1.203104,1.424141
1.43107,1.076871,1.270396
1.517778,1.011079,1.184122
1.548323,0.9778447,1.18909
1.457426,0.9828286,1.22199
1.438877,1.034925,1.364758
1.284046,1.173905,1.306026
1.408079,1.27796,1.364437
1.378935,1.332283,1.501422
1.345537,1.22633,1.462479
1.325039,1.219552,1.301686
1.381079,1.285908,1.104796
1.441299,1.355443,1.034722
1.513479,1.32304,1.026608
1.555614,1.177424,0.9854302
1.565939,1.07692,1.03974
1.519681,1.063714,1.105977
1.725323,0.9352121,1.187783
1.56792,0.9817462,1.210135
1.557978,1.019458,1.124092
1.528653,1.200097,1.177793
1.50917,1.330376,1.142414
1.507946,1.420932,1.081508
1.526765,1.340805,1.084491
1.553312,1.305124,1.077371
1.626812,1.296643,1.126831
1.600017,1.216854,1.234827
1.669237,1.242956,1.321317
1.585979,1.366937,1.290787
1.687843,1.364322,1.358781
1.624275,1.452744,1.475578
1.522942,1.472645,1.446572
1.465084,1.426249,1.403201
1.379351,1.36521,1.428118
1.333797,1.335431,1.433661
1.333695,1.231477,1.397973
1.176439,1.138013,1.402752
1.227332,1.240567,1.459082
1.198511,1.279025,1.341311
1.217546,1.256722,1.500931
1.243334,1.254017,1.49381
1.36529,1.281144,1.43987
1.293692,1.274015,1.342494
1.208432,1.275155,1.318854
1.22673,1.263658,1.320397
1.342249,1.163896,1.315511
1.354046,1.162872,1.284884
1.407839,1.103344,1.225854
1.353843,1.025829,1.055249
1.348593,1.064535,1.095744
1.238397,1.098022,1.002966
1.290426,1.078682,0.9391026
1.097342,1.049937,0.9262047
1.167843,1.149918,1.000916
1.371772,1.141774,1.057301
1.526031,1.056761,1.100342
1.543687,1.045609,1.10863
1.573853,1.033134,1.17907
1.515592,1.036855,1.105236
1.338723,1.18308,1.194467
1.210932,1.205414,1.175663
1.079544,1.161381,1.261565
1.000019,1.159699,1.280334
1.056767,1.279911,1.256749
1.109566,1.181023,1.238624
1.192813,1.141584,1.338516
1.163078,1.102422,1.367415
1.232734,1.128392,1.512399
1.156263,1.08357,1.468397
0.9820633,1.179684,1.545189
0.9744692,1.126892,1.339001
0.9237409,1.084174,1.320587
0.9242096,1.129382,1.18434
0.9166012,1.153625,1.07494
1.05126,1.024691,1.025679
1.024496,0.9983659,0.9871483
0.9439478,1.006488,0.9198556
1.006118,1.076324,0.8957219
0.9540601,1.087286,0.912528
0.9509873,1.210358,0.9118414
0.9144626,1.150736,0.8657541
0.9635758,1.130244,0.9258595
0.9858689,1.16392,0.98031
0.9003692,1.186801,0.9454951
0.8836393,1.087879,1.035031
0.7412615,0.9572148,0.9794049
0.6104698,1.022039,0.9256854
0.7508569,1.04466,0.9558973
0.8890963,1.023634,1.148188
1.039633,1.005954,1.213367
1.040851,0.9270549,1.27236
1.093178,0.7894692,1.251088
1.117074,0.7405043,1.205192
0.9802113,0.6409149,1.101879
0.7931728,0.5663309,1.084032
0.6798763,0.4676423,1.015264
0.5741153,0.6394291,0.9966583
0.6685066,0.6673665,1.018508
0.6403346,0.7704887,1.086464
0.562541,0.7618794,1.040057
0.6731315,0.7965331,0.9944644
0.8909197,0.755096,0.9377141
1.082896,0.7898555,0.7290945
1.127392,0.7039208,0.7020135
1.095202,0.7613549,0.7451034
1.04726,0.7290339,0.8542323
1.024168,0.7601333,0.9504352
0.8558807,0.6939807,0.9502854
0.6765962,0.7930956,1.018224
0.4836183,0.7291451,1.091225
0.6194758,0.6679697,1.106036
0.9082828,0.8593397,0.9790487
1.143988,0.9383001,0.730679
1.24824,1.032984,0.6947398
1.328982,1.051999,0.6709528
1.357772,1.034882,0.7123184
1.297044,0.9493432,0.6194158
1.120342,0.8140426,0.5724926
1.101204,0.7522135,0.6045446
0.9783549,0.5828533,0.8025112
0.9914341,0.5374846,0.8789568
1.04623,0.6663194,0.8356199
1.018651,0.7260761,0.8614025
0.9552402,0.9444752,1.029196
0.8796325,0.8631449,1.239007
0.8108706,0.7764535,1.348821
0.7222748,0.6173639,1.174727
0.5825315,0.554564,1.176584
0.5814285,0.4150705,1.145073
0.5994873,0.3407779,1.162395
0.5786114,0.3702683,1.065397
0.7329869,0.3994646,0.9801197
0.5534897,0.5778418,0.9665265
0.4717941,0.7263079,0.9828291
0.4127049,0.7468596,0.9255357
0.3794208,0.6781001,0.8441463
0.4055595,0.67836,0.6985021
0.3843231,0.7111478,0.7977676
0.4497938,0.642869,0.6864338
0.624331,0.7185988,0.7709379
0.6465778,0.688602,0.8802605
0.7464633,0.6660643,0.9754744
0.6596169,0.7086616,1.054853
0.6542249,0.7187285,0.975009
